BMI,"Badger Meter, Inc.",1620246036,Capital Goods,Industrial Machinery/Components,NYSE
BRSS,"Global Brass and Copper Holdings, Inc.",753578471.5,Capital Goods,Metal Fabrications,NYSE
BW,Babcock,69381581.5,Capital Goods,Building Products,NYSE
BWA,BorgWarner Inc.,7974280204,Capital Goods,Auto Parts:O.E.M.,NYSE
BXC,BlueLinx Holdings Inc.,247485600,Capital Goods,Wholesale Distributors,NYSE
BZH,"Beazer Homes USA, Inc.",369896720.4,Capital Goods,Homebuilding,NYSE
CAT,"Caterpillar, Inc.",77980285572,Capital Goods,Construction/Ag Equipment/Trucks,NYSE
CBPX,"Continental Building Products, Inc.",873958608.8,Capital Goods,Building Materials,NYSE
CCS,"Century Communities, Inc.",726228630.1,Capital Goods,Homebuilding,NYSE
CFX,Colfax Corporation,3482738519,Capital Goods,Fluid Controls,NYSE
CIR,"CIRCOR International, Inc.",647349903.4,Capital Goods,Metal Fabrications,NYSE
CNHI,CNH Industrial N.V.,13809085972,Capital Goods,Construction/Ag Equipment/Trucks,NYSE
CPAC,Cementos Pacasmayo S.A.A.,121160000,Capital Goods,Building Materials,NYSE
CPS,Cooper-Standard Holdings Inc.,818800148.2,Capital Goods,Auto Parts:O.E.M.,NYSE
CR,Crane Co.,5067215094,Capital Goods,Metal Fabrications,NYSE
CRH,CRH PLC,25095717370,Capital Goods,Building Materials,NYSE
CRR,"Carbo Ceramics, Inc.",98322756,Capital Goods,Industrial Machinery/Components,NYSE
CUB,Cubic Corporation,1751889048,Capital Goods,Industrial Machinery/Components,NYSE
CX,Cemex S.A.B. de C.V.,6960609766,Capital Goods,Building Materials,NYSE
DAN,Dana Incorporated,2544998335,Capital Goods,Auto Parts:O.E.M.,NYSE
DCI,"Donaldson Company, Inc.",6390379264,Capital Goods,Pollution Control Equipment,NYSE
DCO,Ducommun Incorporated,497257518.1,Capital Goods,Military/Government/Technical,NYSE
DE,Deere & Company,50907997364,Capital Goods,Industrial Machinery/Components,NYSE
DHI,"D.R. Horton, Inc.",15452248706,Capital Goods,Homebuilding,NYSE
DHR,Danaher Corporation,94485866960,Capital Goods,Industrial Machinery/Components,NYSE
DLPH,Delphi Technologies PLC,1705119887,Capital Goods,Auto Parts:O.E.M.,NYSE
EME,"EMCOR Group, Inc.",4092306581,Capital Goods,Engineering & Construction,NYSE
ERJ,Embraer S.A.,3486088265,Capital Goods,Aerospace,NYSE
ESE,ESCO Technologies Inc.,1737361228,Capital Goods,Telecommunications Equipment,NYSE
EXP,Eagle Materials Inc,3869251221,Capital Goods,Building Materials,NYSE
F,Ford Motor Company,34405896374,Capital Goods,Auto Manufacturing,NYSE
FCAU,Fiat Chrysler Automobiles N.V.,23269643704,Capital Goods,Auto Manufacturing,NYSE
FIX,"Comfort Systems USA, Inc.",1931604212,Capital Goods,Engineering & Construction,NYSE
FLS,Flowserve Corporation,5912571627,Capital Goods,Fluid Controls,NYSE
FSS,Federal Signal Corporation,1566001122,Capital Goods,Auto Manufacturing,NYSE
FTV,Fortive Corporation,28072214304,Capital Goods,Industrial Machinery/Components,NYSE
